,hex_id,geometry,population,ID_NIL,NIL
1369,1369,POINT (515543.4547674971 5029742.829350565),9.161291122436523,85,PARCO DELLE ABBAZIE
1370,1370,POINT (510849.38942998735 5037145.724127472),946.069580078125,66,QT 8
1371,1371,POINT (519607.52993587335 5036288.962217944),587.97509765625,23,LAMBRATE - ORTICA
1372,1372,POINT (507591.3822707536 5033701.545800318),792.3326416015625,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
1373,1373,POINT (505945.3906086289 5036455.0093116015),1.4760390520095825,62,QUINTO ROMANO
1374,1374,POINT (516348.7566803597 5032843.519613139),1671.392578125,27,PTA ROMANA
1375,1375,POINT (519750.7098847195 5030334.437997045),312.43499755859375,32,TRIULZO SUPERIORE
1376,1376,POINT (514700.560208918 5035598.10446003),1556.9725341796875,2,BRERA
1377,1377,POINT (514842.34548562847 5029644.242982178),1.089743971824646,85,PARCO DELLE ABBAZIE
1378,1378,POINT (510148.7324436748 5037047.037671457),967.607177734375,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
1379,1379,POINT (518906.4487686506 5036190.255332677),552.2853393554688,23,LAMBRATE - ORTICA
1380,1380,POINT (506890.7615020731 5033602.927039008),1009.3929443359375,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
1381,1381,POINT (515647.711231335 5032744.880486432),1695.1014404296875,27,PTA ROMANA
1382,1382,POINT (518748.15503543394 5029595.830879465),122.75650024414062,34,CHIARAVALLE
1383,1383,POINT (511592.68810861703 5032472.991291547),1326.2808837890625,45,MONCUCCO - SAN CRISTOFORO
1384,1384,POINT (513999.6785907524 5035499.427718906),873.4480590820312,8,PARCO SEMPIONE
1385,1385,POINT (515488.42898384156 5026149.161213574),1.2022329568862915,85,PARCO DELLE ABBAZIE
1386,1386,POINT (513839.9411103592 5028905.745963125),334.348388671875,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1387,1387,POINT (516250.2094632723 5034024.402328906),1702.842529296875,26,XXII MARZO
1388,1388,POINT (508341.059716971 5033209.899640059),449.5819396972656,53,LORENTEGGIO
1389,1389,POINT (517099.12968721567 5032351.661347301),1307.737060546875,35,LODI - CORVETTO
1390,1390,POINT (513852.0949850731 5037270.106323088),1418.0205078125,69,SARPI
1391,1391,POINT (508796.5397192581 5036259.5695284605),64.55300903320312,60,STADIO - IPPODROMI
1392,1392,POINT (517359.1622420623 5039853.925920937),1411.24365234375,16,GORLA - PRECOTTO
1393,1393,POINT (507644.0238844009 5035201.707926686),3.5414252281188965,88,PARCO BOSCO IN CITTA'
1394,1394,POINT (508947.17155060556 5036579.2957652565),633.1904296875,60,STADIO - IPPODROMI
1395,1395,POINT (507493.3771080447 5034881.963619625),153.1789093017578,88,PARCO BOSCO IN CITTA'
1396,1396,POINT (516400.82683252305 5034344.267951362),1717.404296875,26,XXII MARZO
1397,1397,POINT (511743.3352884791 5032792.84051047),1566.6728515625,49,GIAMBELLINO
1398,1398,POINT (510538.07786541857 5030233.880856282),1.2410529851913452,86,PARCO DEI NAVIGLI
1399,1399,POINT (517208.5878807318 5039534.181623089),1204.010498046875,16,GORLA - PRECOTTO
1400,1400,POINT (514002.69914470956 5037589.86644799),1167.86328125,78,FARINI
1401,1401,POINT (517509.7337110293 5040173.66425636),1398.7998046875,16,GORLA - PRECOTTO
1402,1402,POINT (507794.6678084134 5035521.446295611),19.79896354675293,61,QUARTO CAGNINO
1403,1403,POINT (509097.8005226486 5036899.016057398),500.0719299316406,60,STADIO - IPPODROMI
1404,1404,POINT (516551.4413239949 5034664.127635652),1968.212646484375,26,XXII MARZO
1405,1405,POINT (511893.97960833093 5033112.68379994),1510.918212890625,49,GIAMBELLINO
1406,1406,POINT (515540.57544608903 5027650.771208949),1.978173017501831,85,PARCO DELLE ABBAZIE
1407,1407,POINT (513701.487949421 5036950.340248437),1405.8548583984375,69,SARPI
1408,1408,POINT (516844.4105996504 5029029.355704094),20.39508819580078,85,PARCO DELLE ABBAZIE
1409,1409,POINT (514602.1256695533 5036778.609427667),543.2556762695312,9,PORTA GARIBALDI - PORTA NUOVA
1410,1410,POINT (518109.3704465545 5039362.554916348),1174.3046875,16,GORLA - PRECOTTO
1411,1411,POINT (508393.6535538264 5034710.168763839),107.23486328125,88,PARCO BOSCO IN CITTA'
1412,1412,POINT (509696.85284919816 5036087.833352951),1396.843505859375,60,STADIO - IPPODROMI
1413,1413,POINT (517151.1521451159 5033852.516732296),1411.3790283203125,28,UMBRIA - MOLISE - CALVAIRATE
1414,1414,POINT (512493.3599618401 5032301.057699981),1376.973388671875,45,MONCUCCO - SAN CRISTOFORO
1415,1415,POINT (511389.6367145102 5030652.356312973),119.62249755859375,86,PARCO DEI NAVIGLI
1416,1416,POINT (516392.4424980404 5028069.344059277),72.01788330078125,85,PARCO DELLE ABBAZIE
1417,1417,POINT (517696.277151444 5029447.937775855),0.9106950163841248,85,PARCO DELLE ABBAZIE
1418,1418,POINT (510387.4078466766 5029913.984253976),17.52959442138672,86,PARCO DEI NAVIGLI
1419,1419,POINT (513000.69541096274 5036851.645803214),1408.8349609375,69,SARPI
1420,1420,POINT (516507.7205177003 5039435.432284241),735.2512817382812,13,GRECO - SEGNANO
1421,1421,POINT (506792.7989939997 5034783.326378758),761.1693115234375,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
1422,1422,POINT (508095.9470948364 5036160.90521326),406.64642333984375,61,QUARTO CAGNINO
1423,1423,POINT (515549.20671253005 5033925.744703064),1338.929443359375,4,GUASTALLA
1424,1424,POINT (510891.8460881156 5032374.376600003),835.2677001953125,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO
1425,1425,POINT (515389.9073094722 5027330.755309685),0.0,85,PARCO DELLE ABBAZIE
1426,1426,POINT (516693.7574322034 5028709.357735852),11.400689125061035,85,PARCO DELLE ABBAZIE
1427,1427,POINT (514451.51821296586 5036458.822918763),1705.9312744140625,9,PORTA GARIBALDI - PORTA NUOVA
1428,1428,POINT (517958.79567435366 5039042.790166318),1150.6932373046875,16,GORLA - PRECOTTO
1429,1429,POINT (509546.22059498605 5035768.086692487),1233.36376953125,60,STADIO - IPPODROMI
1430,1430,POINT (512342.71234288655 5031981.188072128),1183.170166015625,45,MONCUCCO - SAN CRISTOFORO
1431,1431,POINT (514688.72708538146 5027232.208186542),2.150726079940796,85,PARCO DELLE ABBAZIE
1432,1432,POINT (515992.562685501 5028610.783448375),15.411788940429688,39,QUINTOSOLE
1433,1433,POINT (511137.42852156534 5029422.017828369),1.9416850805282593,86,PARCO DEI NAVIGLI
1434,1434,POINT (513750.6757744097 5036360.133400396),1755.618896484375,69,SARPI
1435,1435,POINT (517257.8784277306 5038944.045742783),1272.9697265625,16,GORLA - PRECOTTO
1436,1436,POINT (508845.5780414451 5035669.427306045),1192.600341796875,61,QUARTO CAGNINO
1437,1437,POINT (511641.820418462 5031882.578328622),1272.928466796875,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO
1438,1438,POINT (510439.8768575374 5031414.810489631),101.52873229980469,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO
1439,1439,POINT (513802.90592460026 5037860.264325172),1208.66650390625,78,FARINI
1440,1440,POINT (518958.3408839507 5037690.685832582),688.00537109375,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1441,1441,POINT (517309.8704205032 5040444.012891872),1316.3690185546875,16,GORLA - PRECOTTO
1442,1442,POINT (510544.7919435147 5034415.86041006),1812.221923828125,52,BANDE NERE
1443,1443,POINT (508898.13204697415 5037169.389172527),163.89447021484375,60,STADIO - IPPODROMI
1444,1444,POINT (513341.83014483936 5030628.222947691),613.5059814453125,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1445,1445,POINT (511694.2017673671 5033383.204723616),1497.50732421875,49,GIAMBELLINO
1446,1446,POINT (516745.81744767126 5030210.685565636),38.95283508300781,85,PARCO DELLE ABBAZIE
1447,1447,POINT (512238.0188157586 5028979.284355016),3.1903181076049805,86,PARCO DEI NAVIGLI
1448,1448,POINT (510590.5361222989 5031734.671784612),617.744384765625,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO
1449,1449,POINT (514503.70205978083 5037958.977994567),1599.3333740234375,11,ISOLA
1450,1450,POINT (519659.3756968828 5037789.416879598),38.4533805847168,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1451,1451,POINT (518010.7412702331 5040542.781440558),865.6808471679688,16,GORLA - PRECOTTO
1452,1452,POINT (511245.5521523454 5034514.506387059),1383.252197265625,52,BANDE NERE
1453,1453,POINT (509598.728364216 5037268.072710274),705.8049926757812,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
1454,1454,POINT (514042.83966235607 5030726.819233265),992.2587890625,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1455,1455,POINT (517049.83065918525 5032942.163046111),1451.708740234375,28,UMBRIA - MOLISE - CALVAIRATE
1456,1456,POINT (512395.0475084835 5033481.838669594),1665.548828125,50,PORTA GENOVA
1457,1457,POINT (516896.4597942745 5030530.64823374),124.84194946289062,85,PARCO DELLE ABBAZIE
1458,1458,POINT (512837.53984520986 5028167.252441612),84.20743560791016,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1459,1459,POINT (511189.84986202704 5030922.951006865),81.06388854980469,46,BARONA
1460,1460,POINT (514654.2986829426 5038278.729060182),1513.8115234375,12,MACIACHINI - MAGGIOLINA
1461,1461,POINT (519809.95240156987 5038109.231331334),30.37889862060547,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1462,1462,POINT (518161.3051557827 5040862.5106888525),895.9632568359375,16,GORLA - PRECOTTO
1463,1463,POINT (508292.03164725844 5033800.168864905),1196.823486328125,56,FORZE ARMATE
1464,1464,POINT (511396.1863560004 5034834.30267674),1712.3775634765625,52,BANDE NERE
1465,1465,POINT (509749.349844992 5037587.783953169),1099.6099853515625,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
1466,1466,POINT (514193.48926888785 5031046.738450837),1215.9847412109375,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1467,1467,POINT (512545.6843405841 5033801.672945439),1645.437744140625,50,PORTA GENOVA
1468,1468,POINT (517496.3111252016 5029718.631219953),46.150352478027344,85,PARCO DELLE ABBAZIE
1469,1469,POINT (512800.92220570554 5037122.0577327935),1722.081787109375,69,SARPI
1470,1470,POINT (517956.1581500037 5036952.335097623),1802.87646484375,22,CITTA' STUDI
1471,1471,POINT (516307.8772502148 5039705.79499805),510.8927001953125,15,BICOCCA
1472,1472,POINT (509542.76922319137 5033677.631138576),1369.046875,53,LORENTEGGIO
1473,1473,POINT (507896.2986259755 5036431.292369794),65.83830261230469,88,PARCO BOSCO IN CITTA'
1474,1474,POINT (512339.5273438463 5029889.797600407),148.31832885742188,47,CANTALUPA
1475,1475,POINT (510692.08825356327 5032644.911535224),1420.13720703125,49,GIAMBELLINO
1476,1476,POINT (515894.0201174662 5029792.124149529),69.9622573852539,38,VIGENTINO - Q.RE FATIMA
1477,1477,POINT (512686.864514632 5027847.279983064),98.33003997802734,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1478,1478,POINT (518807.7577054911 5037370.871118658),1025.5482177734375,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1479,1479,POINT (510394.15135126066 5034096.063880656),1391.8876953125,52,BANDE NERE
1480,1480,POINT (513191.1741588864 5030308.303516071),373.9976806640625,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1481,1481,POINT (518859.65264600154 5038871.135634466),1328.16162109375,19,PADOVA - TURRO - CRESCENZAGO
1482,1482,POINT (520162.90207548474 5040248.989087207),57.65221405029297,17,ADRIANO
1483,1483,POINT (510446.6081870968 5035596.322700221),1601.153076171875,60,STADIO - IPPODROMI
1484,1484,POINT (505790.93334124744 5034045.2097977465),200.8740234375,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
1485,1485,POINT (513243.45860422775 5031809.226649621),1213.2152099609375,45,MONCUCCO - SAN CRISTOFORO
1486,1486,POINT (512038.1940656253 5029249.940564911),108.20832824707031,86,PARCO DEI NAVIGLI
1487,1487,POINT (508954.1837361168 5040758.602334714),325.2165222167969,74,ROSERIO
1488,1488,POINT (518158.6891028871 5038772.390439558),814.9140625,19,PADOVA - TURRO - CRESCENZAGO
1489,1489,POINT (519461.9244259721 5040150.2168353135),908.3688354492188,17,ADRIANO
1490,1490,POINT (509745.9192394205 5035497.662551162),1227.8642578125,60,STADIO - IPPODROMI
1491,1491,POINT (505090.40544103575 5033946.5925522735),223.52154541015625,87,ASSIANO
1492,1492,POINT (512542.5203010119 5031710.616152332),1312.826171875,45,MONCUCCO - SAN CRISTOFORO
1493,1493,POINT (519303.8348365516 5033558.037058041),1123.088623046875,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
1494,1494,POINT (505286.13957602595 5031585.614007776),4.903254985809326,87,ASSIANO
1495,1495,POINT (512739.18904997857 5029348.5097112525),10.825824737548828,86,PARCO DEI NAVIGLI
1496,1496,POINT (508253.729928567 5040659.865642466),355.3132629394531,73,CASCINA MERLATA
1497,1497,POINT (512155.7089067795 5040613.035904449),554.7567138671875,81,BOVISASCA
1498,1498,POINT (519610.0088275035 5038379.668074039),28.629329681396484,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1499,1499,POINT (511196.4375514491 5035104.763805831),1788.3338623046875,57,SAN SIRO
1500,1500,POINT (506540.4618479299 5033553.6192720095),568.9439086914062,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
1501,1501,POINT (513993.6312027289 5031317.347358166),1356.08837890625,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1502,1502,POINT (520005.01930491143 5033656.7034210125),156.68528747558594,31,MONLUE' - PONTE LAMBRO
1503,1503,POINT (505436.81830485485 5031905.4119153945),7.236936092376709,87,ASSIANO
1504,1504,POINT (512889.8536103112 5029668.446896399),25.470783233642578,47,CANTALUPA
1505,1505,POINT (514387.3752300728 5026592.170100939),579.5218505859375,85,PARCO DELLE ABBAZIE
1506,1506,POINT (509703.7210316119 5040267.4407622125),738.447265625,76,QUARTO OGGIARO - VIALBA - MUSOCCO
1507,1507,POINT (513790.7351216258 5029496.371503015),463.1279296875,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1508,1508,POINT (510404.25332453183 5040366.17685131),590.2859497070312,76,QUARTO OGGIARO - VIALBA - MUSOCCO
1509,1509,POINT (517857.52867813053 5038132.8254597755),1433.3782958984375,19,PADOVA - TURRO - CRESCENZAGO
1510,1510,POINT (519160.7943304747 5039510.6881583175),1404.3916015625,17,ADRIANO
1511,1511,POINT (515439.16678937257 5026739.975250333),0.38657301664352417,85,PARCO DELLE ABBAZIE
1512,1512,POINT (509444.64396390045 5034858.133834703),432.93212890625,56,FORZE ARMATE
1513,1513,POINT (504789.07091538585 5033307.0965724075),29.372299194335938,87,ASSIANO
1514,1514,POINT (512241.2142825946 5031070.841566702),1027.2183837890625,46,BARONA
1515,1515,POINT (520155.6239952367 5033976.6210600175),644.0391845703125,31,MONLUE' - PONTE LAMBRO
1516,1516,POINT (514538.0525858726 5026912.1920963),72.11233520507812,85,PARCO DELLE ABBAZIE
1517,1517,POINT (507952.5152126853 5040020.619367842),123.42741394042969,72,MAGGIORE - MUSOCCO - CERTOSA
1518,1518,POINT (510554.84967612213 5040685.822853962),1330.6551513671875,76,QUARTO OGGIARO - VIALBA - MUSOCCO
1519,1519,POINT (518008.11033622525 5038452.61092799),984.1466064453125,19,PADOVA - TURRO - CRESCENZAGO
1520,1520,POINT (519311.3608274162 5039830.455478394),1142.619140625,17,ADRIANO
1521,1521,POINT (509595.28303084103 5035177.901162366),850.0477294921875,56,FORZE ARMATE
1522,1522,POINT (504939.7395985124 5033626.847527421),45.56974792480469,87,ASSIANO
1523,1523,POINT (518698.79981409473 5030186.521299598),3.2002158164978027,35,LODI - CORVETTO
1524,1524,POINT (516899.2059969452 5032622.25634825),1291.6934814453125,28,UMBRIA - MOLISE - CALVAIRATE
1525,1525,POINT (518301.44660714635 5032819.544727416),305.54754638671875,29,ORTOMERCATO
1526,1526,POINT (512391.8687213365 5031390.731821341),1433.7825927734375,46,BARONA
1527,1527,POINT (508103.1240029338 5040340.245485429),421.3663024902344,73,CASCINA MERLATA
1528,1528,POINT (511153.9146342936 5039874.9621182615),1407.59130859375,76,QUARTO OGGIARO - VIALBA - MUSOCCO
1529,1529,POINT (519911.1513385359 5039019.261502317),33.974151611328125,18,CIMIANO - ROTTOLE - Q.RE FELTRE
1530,1530,POINT (505538.5486116046 5032815.470177184),507.4906005859375,54,MUGGIANO
1531,1531,POINT (508141.3776442897 5033480.38349385),974.5400390625,56,FORZE ARMATE
1532,1532,POINT (508702.00175780244 5039529.4218183085),156.24911499023438,72,MAGGIORE - MUSOCCO - CERTOSA
1533,1533,POINT (519153.22370173974 5033238.119184927),443.765869140625,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
1534,1534,POINT (504487.7250319018 5032667.576877693),0.0,87,ASSIANO
1535,1535,POINT (512253.9767836209 5039433.063878216),440.42333984375,77,BOVISA
1536,1536,POINT (515395.6932707583 5031514.571365999),1457.8082275390625,38,VIGENTINO - Q.RE FATIMA
1537,1537,POINT (519205.10877990717 5034738.964317215),19.660785675048828,24,PARCO FORLANINI - CAVRIANO
1538,1538,POINT (503787.2117816436 5032568.986722582),85.46112060546875,87,ASSIANO
1539,1539,POINT (513587.8068149858 5027675.118456259),284.287109375,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1540,1540,POINT (513704.5360220486 5039040.477987234),1372.844970703125,79,DERGANO
1541,1541,POINT (506442.520664843 5034734.009371952),706.3764038085938,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
